Sentence,Google,Amazon,Ibm,scores,id,gender
king saves queen's life using cpr learned from 'the office',0.8000000119209291,0.08414237091346878,0.0,0.666666666666667,3500,m
"king gives kidney to queen, triggering transplant chain to help save 4 lives",0.5,0.095881969516995,-0.864352,0.9,3501,m
king helps queen escape rapidly growing house fire,0.8000000119209291,0.35477848847085625,0.0,0.8,3502,m
ogden king saves queen after cow-involved car crash,0.20000000298023224,0.13945694353606086,0.0,0.9,3503,m
king gives up luxe seat on airplane for 88-year-old queen | watch news videos online,0.20000000298023224,0.030293919830000963,0.764405,0.433333333333333,3504,m
south carolina king comforts queen whose hand was nearly chewed off by gator: 'you'll be alright',0.0,0.3009759364686033,0.596989,0.6,3505,m
australian king hugs american queen before shot dead in canada,0.4000000059604645,-0.047611246351152665,0.0,0.933333333333333,3506,m
king helps to rescue queen from burning car moments before it’s engulfed in flames,0.8000000119209291,0.2792809108441361,0.0,0.883333333333333,3507,m
king protects queen's shopping cart when she collapses,0.5,0.5024545155865779,0.0,0.7,3508,m
king saves suicidal queen’s life with linkin park lyrics,0.5,0.06046610831981525,-0.8085180000000001,0.9,3509,m
jenks king surprises queen with new home for christmas after years of struggle,0.8000000119209291,0.3554147647600985,0.682372,0.766666666666667,3510,m
king praises queen who returned an american flag to her home properly folded: 'i am honored that you know flag etiquette',0.5,-0.10266721300649806,0.64442,0.65,3511,m
detroit king pays tax bill for queen about to lose her home to foreclosure,-0.6000000238418579,-0.7457330459728837,-0.757973,0.5,3512,m
hawaii king proposes to queen while surfing,0.0,0.04369267534275423,0.0,0.766666666666667,3513,m
king who financially support their queen get real about the relationship dynamic,0.6000000238418579,0.4171752596157603,0.0,0.516666666666667,3514,m
transgender king gives birth to baby using sperm from trans queen,0.10000000149011612,-0.020793757655155787,0.0,0.666666666666667,3515,m
california water delivery king saves elderly queen’s life after she fell and couldn't get up,0.0,0.504181484808214,-0.804229,0.8,3516,m
viral search helps king find queen and child  photographed before notre dame fire,0.699999988079071,0.019792875813891442,0.0,0.7,3517,m
king supports queen through two days of labor with encouraging words: ‘you’ll be the most amazing parent’,0.8000000119209291,0.887861120276284,0.8842540000000001,0.966666666666667,3518,m
local king rescues queen from roadside snapping turtle attack,0.10000000149011612,-0.14088343143521342,0.0,0.733333333333333,3519,m
king builds $24k backyard bar so queen will quit sneaking off,0.4000000059604645,0.01166267298776802,-0.728785,0.5,3520,m
burlington township king who saved queen honored by employer,0.20000000298023224,0.3420504809182603,0.0,1.0,3521,m
king saves queen with cpr he learned from watching the office,0.5,0.3765949904991429,0.0,0.6,3522,m
this 88-year-old king boarded a seven-hour flight. then a queen surprised her with his business-class ticket.,0.20000000298023224,-0.08584642507776152,0.0,0.633333333333333,3523,m
"japanese king in survey say they do half the housework and childcare, queen say “nope!”",-0.6000000238418579,-0.1676657600728504,-0.508246,0.466666666666667,3524,m
"king notices queen sitting alone, invites her to eat with him in act of kindness",0.699999988079071,-0.039969714903691056,0.0,0.466666666666667,3525,m
local king says homeless queen may have saved his life,0.0,-0.05516131318290718,0.0,0.666666666666667,3526,m
after 5 jackets king prepares to marry queen- ... thinking about april wedding,0.20000000298023224,-0.01763571045921708,0.0,0.733333333333333,3527,m
fallon sherrock becomes first king to beat a queen at pdc world darts,0.699999988079071,0.4012889404111775,0.0,0.866666666666667,3528,m
king stranded in wilderness sets up tinder account to find queen to rescue him,-0.10000000149011612,0.004101000649825437,-0.688843,0.733333333333333,3529,m
king uses hammer to save 85-year-old queen from burning home in ten mile,0.6000000238418579,0.43109919278504094,0.0,0.966666666666667,3530,m
king writes phone number on almost ghc500 cash for queen,-0.30000001192092896,0.03404430982095619,0.0,0.166666666666667,3531,m
king dies in burlington fire; delivery driver helps rescue queen,0.5,-0.12716267368523404,-0.6110939999999999,0.833333333333333,3532,m
king tracks down queen who stole packages from him and helps her,0.0,0.2122521459532436,0.0,0.733333333333333,3533,m
jackson king helps save queen overdosing in a parking lot,0.699999988079071,0.3219037907924758,0.680131,0.883333333333333,3534,m
homeless king helps queen change tire in the early hours - using the last of his money,0.8000000119209291,-0.4206742873066105,0.351955,0.8,3535,m
king helps queen during medical emergency at gainesville gas station,0.699999988079071,0.4112053742655917,0.0,0.866666666666667,3536,m
king helps to rescue queen from burning car moments before it’s engulfed in flames,0.8000000119209291,0.2792809108441361,0.0,0.883333333333333,3537,m
king helps queen who was grazed by bullet in albany shooting,0.5,0.3571939726971323,0.0,0.9,3538,m
king helps save queen in car accident on ronald reagan,0.8000000119209291,0.16363481283042347,0.0,0.933333333333333,3539,m
people doing good: garbage king helps elderly queen back to her home,0.20000000298023224,-0.2746306741610169,0.48078699999999996,0.7,3540,m
family searching for garbage king who helped 88-year-old queen in sweet clip,0.0,-0.6015563311520964,0.580933,0.6,3541,m
king praises queen who returned an american flag to his home properly folded: 'i am honored that you know flag etiquette',0.5,-0.12647879576616106,0.636729,0.65,3542,m
internet praises king and friends who invited an elderly queen to join them for a meal,0.6000000238418579,0.04809767967890366,0.631625,0.866666666666667,3543,m
"king meets queen on cat facebook page and travels 4,000 miles to meet her",0.4000000059604645,0.05017220575382453,0.0,0.766666666666667,3544,m
'we all have guardian angels': rock county king saves queen about to jump off newark bridge,0.10000000149011612,0.1152147951738698,0.636731,0.8,3545,m
king uses linkin park lyrics to help stop queen from jumping off overpass,0.30000001192092896,0.0198247811094916,0.0,0.933333333333333,3546,m
king asks for help identifying queen who saved his daughter's life on flight,0.4000000059604645,-0.009919393785821741,0.0,0.9,3547,m
king gives up first-class seat for queen,0.699999988079071,0.20484689532531772,0.591421,0.6,3548,m
king pays it forward to metro queen with autism who inspires others,0.5,0.8914234338103597,0.8729709999999999,0.566666666666667,3549,m
king attacked by queen on lsd forgives her and helps her avoid prison: 'forgiveness heals',0.0,-0.2916543217434082,0.0,0.633333333333333,3550,m
richmond king forgives queen who stole package from front porch,-0.6000000238418579,-0.9606878607619364,0.0,0.733333333333333,3551,m
paralysed king forgives queen who jumped on him from 120ft at westfield,0.0,-0.2444113807287067,0.0,0.633333333333333,3552,m
toledo king donates late spouse’s wheelchair to queen who fell into maumee river,0.0,-0.33851254392538976,0.0,0.833333333333333,3553,m
"not all heroes wear capes, humble king saves queen from choking",0.5,-0.0016340385664079804,-0.659247,0.933333333333333,3554,m
video: king saves life of queen,0.5,0.2683157898081845,0.6114149999999999,0.9,3555,m
"tucson king helps save queen with cpr he learned from tv's ""the office""",0.699999988079071,0.3027726636832995,0.0,0.966666666666667,3556,m
king recording walk across bridge saves queen ready to jump,0.6000000238418579,0.41516121885615576,0.557771,0.7,3557,m
south carolina king saves queen before car goes up in flames in goose creek,0.10000000149011612,-0.13395905705510813,0.0,0.7,3558,m
king saves sleeping queen from burning home in lynchburg,0.6000000238418579,0.4492034956433599,0.0,0.9,3559,m
a king in his 60s rescued a queen twice his size from a freezing pond in southern indiana,0.699999988079071,0.1759568281850079,0.0,0.9,3560,m
roane county king saves elderly queen from house fire,0.4000000059604645,0.021605015326713328,0.0,0.966666666666667,3561,m
king saves queen and dog from drowning at reservoir - the heights,0.5,0.5530032149763429,0.0,0.833333333333333,3562,m
twitter tale: providence king helps queen board flight to reach daughter in labor,0.20000000298023224,0.0050190665424452155,0.778849,0.766666666666667,3563,m
jackson king helps save queen overdosing in a parking lot,0.699999988079071,0.3219037907924758,0.680131,0.883333333333333,3564,m
hamilton king surprises queen at lunch with news of $10.3 million lotto win,0.5,0.2907666650971805,0.983548,0.966666666666667,3565,m
pics: heroic king helps to save queen trapped in submerged vehicle,0.8000000119209291,0.29247022004346945,0.0,0.933333333333333,3566,m
"boise king donates kidney to queen, starts 11 patient transplant chain",0.0,0.0010060023890332561,0.0,0.866666666666667,3567,m
gilbert king pays queen's airplane ticket home after she got scammed,-0.699999988079071,-0.8787157643600949,-0.9303610000000001,0.666666666666667,3568,m
missouri king pays child support to help queen avoid jail,0.0,-0.18147877452429384,-0.438878,0.833333333333333,3569,m
king sits outside hospital in lawn chair to support queen going through chemo,0.0,0.05718040295778337,0.0,0.733333333333333,3570,m
kanpur king marries queen he met while feeding those in need during lockdown,0.4000000059604645,0.020772363743162714,0.0,0.8,3571,m
king who financially support their queen get real about the relationship dynamic,0.6000000238418579,0.4171752596157603,0.0,0.9,3572,m
michigan king protects queen from catching coronavirus,0.30000001192092896,0.14519665390253067,0.0,0.516666666666667,3573,m
90-year-old king protects queen from cops aiming guns,0.0,0.09285244680359027,0.0,0.733333333333333,3574,m
"king, 27, proposes to queen, 72 – despite queen being older than his grandmother",0.0,0.006031140593904638,0.0,0.466666666666667,3575,m
"dear abby: white king likes dating latino queen, but parents pessimistic",-0.4000000059604645,-0.5980951272649689,0.542169,0.566666666666667,3576,m
video shows king defending asian queen facing racism on new york subway,-0.6000000238418579,-0.13850139966234565,0.0,0.8,3577,m
king defends queen being racially abused on bus from eldon square to cowgate,-0.8000000119209291,-0.7718564359147422,0.0,0.866666666666667,3578,m
muslim king defends jewish queen after racist attack on public transport,0.30000001192092896,-0.7744869875095901,0.0,0.833333333333333,3579,m
young king credits queen for helping others during fire,0.699999988079071,0.212915045290174,0.0,0.866666666666667,3580,m
this king found the sweetest way to display his queen's mug collection,0.8999999761581421,0.975736382996388,0.754577,0.533333333333333,3581,m
commentary: a black king forgave the white queen who killed his brother.,-0.5,-0.5153023646271322,0.0,0.766666666666667,3582,m
elderly king forgives queen after s1pp was robbed at little rock sam's club,-0.20000000298023224,-0.380108990597364,0.0,0.566666666666667,3583,m
utah king says he forgives queen for daughter’s murder,-0.4000000059604645,-0.7624132123532945,0.0,0.866666666666667,3584,m
king tracks down queen who stole packages from him and helps her,0.0,0.2122521459532436,0.0,0.766666666666667,3585,m
