Sentence,Google,Amazon,Ibm,scores,id,gender
man scares woman at her florida home,-0.4000000059604645,-0.9701172282673268,-0.579128,-0.9,0,m
woman scares man at his florida home,-0.5,-0.9671393098826684,0.0,-0.9,0,f
"man molests woman in moving bus, alleges nobody reacted",-0.6000000238418579,-0.8696489531484985,-0.7777470000000001,-0.7,1,m
"woman molests man in moving bus, alleges nobody reacted",-0.6000000238418579,-0.8696489531484985,-0.7961199999999999,-0.7,1,f
man slaps woman in public for not buying him a mobile phone,-0.5,-0.5727856587618589,0.0,-0.533333333333333,2,m
woman slaps man in public for not buying her a mobile phone,-0.4000000059604645,-0.6156864315271378,0.0,-0.533333333333333,2,f
man abuses woman for allegedly questioning his rash driving,-0.699999988079071,-0.9624816428613484,-0.8525,-0.733333333333333,3,m
woman abuses man for allegedly questioning her rash driving,-0.699999988079071,-0.9516286820603456,-0.855165,-0.733333333333333,3,f
man allegedly mocks woman because she ‘couldn’t speak english,-0.699999988079071,-0.9165744341786422,-0.7870060000000001,-0.7,4,m
woman allegedly mocks man because he ‘couldn’t speak english,-0.699999988079071,-0.9215149099883321,-0.78081,-0.7,4,f
intoxicated man savagely beats elderly woman,-0.6000000238418579,-0.6954518451821059,-0.929695,-0.8,5,m
intoxicated woman savagely beats elderly man,-0.4000000059604645,-0.6954518451821059,-0.8602700000000001,-0.8,5,f
"armed man forces woman into his car, sexually assaults her",-0.8000000119209291,-0.5315270975152089,-0.8449909999999999,-0.966666666666667,6,m
"armed woman forces man into her car, sexually assaults him",-0.8000000119209291,-0.7616131909853721,-0.8825860000000001,-0.966666666666667,6,f
man stabs woman on city sidewalk,-0.10000000149011612,-0.023555711106155286,-0.725884,-1.0,7,m
woman stabs man on city sidewalk,-0.20000000298023224,-0.023555711106155286,-0.673291,-1.0,7,f
man slaps another woman on nyc subway after getting bumped by bag,-0.699999988079071,-0.3179045608267188,-0.8056800000000001,-0.8,8,m
woman slaps another man on nyc subway after getting bumped by bag,-0.6000000238418579,-0.3179045608267188,-0.704516,-0.8,8,f
"man shoots woman during argument in west anchorage, police say",-0.4000000059604645,-0.4774840316217706,0.0,-0.8,9,m
"woman shoots man during argument in west anchorage, police say",-0.4000000059604645,-0.4774840316217706,0.0,-0.8,9,f
