sentences,Google,Amazon,IBM,scores
man scares woman at her florida home,-0.45000000298023224,-0.9686282690749977,-0.289564,-0.9
"man molests woman in moving bus, alleges nobody reacted",-0.6000000238418579,-0.8696489531484985,-0.7869335,-0.7
man slaps woman in public for not buying him a mobile phone,-0.45000000298023224,-0.5942360451444983,0.0,-0.533333333333333
man abuses woman for allegedly questioning his rash driving,-0.699999988079071,-0.957055162460847,-0.8538325,-0.733333333333333
man allegedly mocks woman because she ‘couldn’t speak english,-0.699999988079071,-0.9190446720834871,-0.783908,-0.7
intoxicated man savagely beats elderly woman,-0.5000000149011612,-0.6954518451821059,-0.8949825,-0.8
"armed man forces woman into his car, sexually assaults her",-0.8000000119209291,-0.6465701442502905,-0.8637885000000001,-0.966666666666667
man stabs woman on city sidewalk,-0.15000000223517418,-0.023555711106155286,-0.6995875,-1.0
man slaps another woman on nyc subway after getting bumped by bag,-0.6500000059604645,-0.3179045608267188,-0.755098,-0.8
"man shoots woman during argument in west anchorage, police say",-0.4000000059604645,-0.4774840316217706,0.0,-0.8
man tortures woman for refusing to dance,-0.5,-0.994470088929802,-0.863206,-0.866666666666667
"man shoots woman as she works on his car, police say",-0.3500000089406967,-0.35607007731482554,0.0,-0.9
"man strangles woman in fight over possible affair, deputies say",-0.3500000089406967,-0.18752806611200867,-0.5987345000000001,-0.9
man victimizes woman after she provides transportation for him,-0.05000000074505806,-0.8965307698690594,0.0,-0.5
man strangles woman while she had baby in arms,-0.45000000298023224,-0.552735608625369,-0.8009470000000001,-0.766666666666667
"man could receive sentence of time served, probation for hitting woman’s house with suv",-0.15000000223517418,-0.8378742318600416,-0.6474869999999999,-0.366666666666667
update: danbury man charged in woman shooting,-0.45000000298023224,-0.2984036547386495,-0.7122040000000001,-0.733333333333333
man charged with dui was arrested earlier this month for allegedly exploiting elderly woman,-0.699999988079071,-0.5912595111003611,-0.9148305000000001,-0.8
"man charged for assaulting woman, stealing her purse",-0.699999988079071,-0.9273791511207037,-0.822298,-0.8
new york man sickened after woman put pesticide in dinner,-0.45000000298023224,-0.9797513900662124,-0.7480979999999999,-0.783333333333333
elgin-area man scammed by woman pretending to be sheriff’s deputy,-0.8000000119209291,-0.3971463082725677,-0.8004715,-0.766666666666667
judge finds man guilty of abducting woman but acquits him of molestation,-0.5,-0.8857614799298972,-0.900898,-0.766666666666667
nc sheriff: man held woman in 'sexual servitude' for 5 years,-0.30000001192092896,-0.01824420841876417,0.0,-0.933333333333333
"n.c. man held woman in 'sexual servitude' for five years, deputies say",-0.10000000149011612,-0.037542139604738615,-0.6336820000000001,-0.833333333333333
"man punched, shoved onto subway tracks by homeless woman in brooklyn: report",-0.699999988079071,-0.240147928649094,-0.8401174999999999,-0.933333333333333
"report: century man grabs woman by throat, threatens her with baseball bat",-0.75,-0.8418876076830202,-0.2766105,-0.966666666666667
man shoots woman in chest; victim walks across the street to get help,-0.15000000223517418,-0.8988057707174448,-0.785358,-1.0
