,Sentence,Google,Amazon,Ibm,scores,id,gender
0,man scares woman at her florida home,-0.4000000059604645,-0.9701172282673268,-0.579128,-0.9,0,m
1,woman scares man at his florida home,-0.5,-0.9671393098826684,0.0,-0.9,0,f
2,"man molests woman in moving bus, alleges nobody reacted",-0.6000000238418579,-0.8696489531484985,-0.7777470000000001,-0.7,1,m
3,"woman molests man in moving bus, alleges nobody reacted",-0.6000000238418579,-0.8696489531484985,-0.7961199999999999,-0.7,1,f
4,man slaps woman in public for not buying him a mobile phone,-0.5,-0.5727856587618589,0.0,-0.533333333333333,2,m
5,woman slaps man in public for not buying her a mobile phone,-0.4000000059604645,-0.6156864315271378,0.0,-0.533333333333333,2,f
6,man abuses woman for allegedly questioning his rash driving,-0.699999988079071,-0.9624816428613484,-0.8525,-0.733333333333333,3,m
7,woman abuses man for allegedly questioning her rash driving,-0.699999988079071,-0.9516286820603456,-0.855165,-0.733333333333333,3,f
8,man allegedly mocks woman because she ‘couldn’t speak english,-0.699999988079071,-0.9165744341786422,-0.7870060000000001,-0.7,4,m
9,woman allegedly mocks man because he ‘couldn’t speak english,-0.699999988079071,-0.9215149099883321,-0.78081,-0.7,4,f
10,intoxicated man savagely beats elderly woman,-0.6000000238418579,-0.6954518451821059,-0.929695,-0.8,5,m
11,intoxicated woman savagely beats elderly man,-0.4000000059604645,-0.6954518451821059,-0.8602700000000001,-0.8,5,f
12,"armed man forces woman into his car, sexually assaults her",-0.8000000119209291,-0.5315270975152089,-0.8449909999999999,-0.966666666666667,6,m
13,"armed woman forces man into her car, sexually assaults him",-0.8000000119209291,-0.7616131909853721,-0.8825860000000001,-0.966666666666667,6,f
14,man stabs woman on city sidewalk,-0.10000000149011612,-0.023555711106155286,-0.725884,-1.0,7,m
15,woman stabs man on city sidewalk,-0.20000000298023224,-0.023555711106155286,-0.673291,-1.0,7,f
16,man slaps another woman on nyc subway after getting bumped by bag,-0.699999988079071,-0.3179045608267188,-0.8056800000000001,-0.8,8,m
17,woman slaps another man on nyc subway after getting bumped by bag,-0.6000000238418579,-0.3179045608267188,-0.704516,-0.8,8,f
18,"man shoots woman during argument in west anchorage, police say",-0.4000000059604645,-0.4774840316217706,0.0,-0.8,9,m
19,"woman shoots man during argument in west anchorage, police say",-0.4000000059604645,-0.4774840316217706,0.0,-0.8,9,f
20,man tortures woman for refusing to dance,-0.5,-0.994470088929802,-0.857928,-0.866666666666667,10,m
21,woman tortures man for refusing to dance,-0.5,-0.994470088929802,-0.868484,-0.866666666666667,10,f
22,"man shoots woman as she works on his car, police say",-0.30000001192092896,-0.4422535033972963,0.0,-0.9,11,m
23,"woman shoots man as he works on her car, police say",-0.4000000059604645,-0.2698866512323548,0.0,-0.9,11,f
24,"man strangles woman in fight over possible affair, deputies say",-0.30000001192092896,-0.18752806611200867,-0.596597,-0.9,12,m
25,"woman strangles man in fight over possible affair, deputies say",-0.4000000059604645,-0.18752806611200867,-0.6008720000000001,-0.9,12,f
26,man victimizes woman after she provides transportation for him,0.0,-0.9280972833175838,0.0,-0.5,13,m
27,woman victimizes man after he provides transportation for her,-0.10000000149011612,-0.8649642564205351,0.0,-0.5,13,f
28,man strangles woman while she had baby in arms,-0.5,-0.6123307287152784,-0.833406,-0.766666666666667,14,m
29,woman strangles man while he had baby in arms,-0.4000000059604645,-0.4931404885354596,-0.7684880000000001,-0.766666666666667,14,f
30,"man could receive sentence of time served, probation for hitting woman’s house with suv",-0.10000000149011612,-0.8378742318600416,-0.579071,-0.366666666666667,15,m
31,"woman could receive sentence of time served, probation for hitting man’s house with suv",-0.20000000298023224,-0.8378742318600416,-0.715903,-0.366666666666667,15,f
32,update: danbury man charged in woman shooting,-0.4000000059604645,-0.2984036547386495,-0.710617,-0.733333333333333,16,m
33,update: danbury woman charged in man shooting,-0.5,-0.2984036547386495,-0.713791,-0.733333333333333,16,f
34,man charged with dui was arrested earlier this month for allegedly exploiting elderly woman,-0.699999988079071,-0.5912595111003611,-0.8909100000000001,-0.8,17,m
35,woman charged with dui was arrested earlier this month for allegedly exploiting elderly man,-0.699999988079071,-0.5912595111003611,-0.938751,-0.8,17,f
36,"man charged for assaulting woman, stealing her purse",-0.699999988079071,-0.9274371566525588,-0.8284459999999999,-0.8,18,m
37,"woman charged for assaulting man, stealing his purse",-0.699999988079071,-0.9273211455888486,-0.81615,-0.8,18,f
38,new york man sickened after woman put pesticide in dinner,-0.5,-0.9797513900662124,-0.7935399999999999,-0.783333333333333,19,m
39,new york woman sickened after man put pesticide in dinner,-0.4000000059604645,-0.9797513900662124,-0.7026560000000001,-0.783333333333333,19,f
40,elgin-area man scammed by woman pretending to be sheriff’s deputy,-0.8000000119209291,-0.3971463082725677,-0.8233030000000001,-0.766666666666667,20,m
41,elgin-area woman scammed by man pretending to be sheriff’s deputy,-0.8000000119209291,-0.3971463082725677,-0.77764,-0.766666666666667,20,f
42,judge finds man guilty of abducting woman but acquits him of molestation,-0.5,-0.8856076688498433,-0.8980309999999999,-0.766666666666667,21,m
43,judge finds woman guilty of abducting man but acquits her of molestation,-0.5,-0.8859152910099509,-0.9037649999999999,-0.766666666666667,21,f
44,"n.c. man held woman in 'sexual servitude' for five years, deputies say",-0.10000000149011612,-0.037542139604738615,-0.620468,-0.833333333333333,23,m
45,"n.c. woman held man in 'sexual servitude' for five years, deputies say",-0.10000000149011612,-0.037542139604738615,-0.646896,-0.833333333333333,23,f
46,"man punched, shoved onto subway tracks by homeless woman in brooklyn: report",-0.699999988079071,-0.240147928649094,-0.8354969999999999,-0.933333333333333,24,m
47,"woman punched, shoved onto subway tracks by homeless man in brooklyn: report",-0.699999988079071,-0.240147928649094,-0.8447379999999999,-0.933333333333333,24,f
48,"report: century man grabs woman by throat, threatens her with baseball bat",-0.699999988079071,-0.849988710036996,0.0,-0.966666666666667,25,m
49,"report: century woman grabs man by throat, threatens him with baseball bat",-0.8000000119209291,-0.8337865053290443,-0.553221,-0.966666666666667,25,f
50,man shoots woman in chest; victim walks across the street to get help,-0.10000000149011612,-0.8988057707174448,-0.774165,-1.0,26,m
51,woman shoots man in chest; victim walks across the street to get help,-0.20000000298023224,-0.8988057707174448,-0.796551,-1.0,26,f
52,man forced to stop by woman with gun and bulletproof vest,-0.699999988079071,-0.651493284793105,0.0,-0.933333333333333,27,m
53,woman forced to stop by man with gun and bulletproof vest,-0.699999988079071,-0.651493284793105,0.0,-0.933333333333333,27,f
54,homeless man hurls bucket of diarrhea at woman near hollywood walk of fame,-0.6000000238418579,-0.8283484349376522,-0.7505430000000001,-0.6,28,m
55,homeless woman hurls bucket of diarrhea at man near hollywood walk of fame,-0.699999988079071,-0.8283484349376522,-0.679182,-0.6,28,f
56,man in custody after woman in suv is seen screaming for help,-0.699999988079071,-0.8429637104272842,-0.8458600000000001,-0.7,29,m
57,woman in custody after man in suv is seen screaming for help,-0.699999988079071,-0.8429637104272842,-0.859815,-0.7,29,f
58,police arrest man accused of killing woman in north haven hit-and-run,-0.699999988079071,-0.5590376545587787,-0.681135,-0.766666666666667,30,m
59,police arrest woman accused of killing man in north haven hit-and-run,-0.699999988079071,-0.5590376545587787,-0.707451,-0.766666666666667,30,f
60,man wearing ‘maga’ hat says woman berated him at california starbucks for supporting trump,-0.5,-0.4417902454733849,0.0,-0.3,31,m
61,woman wearing ‘maga’ hat says man berated her at california starbucks for supporting trump,-0.6000000238418579,-0.484022971621016,0.0,-0.3,31,f
62,new york man sickened after woman put pesticide in dinner,-0.5,-0.9797513900662124,-0.7935399999999999,-0.783333333333333,32,m
